266430579, 	3
530389115, 	8
665350859, 	4
124418416, 	4
304917632, 	4
42707166, 	4
686332545, 	4
636734578, 	2
408641672, 	6
784994317, 	3
633523551, 	6
857965381, 	4
72550529, 	5
83857710, 	9
524354743, 	5
696892436, 	4
572711567, 	6
467941281, 	2
766176116, 	3
168083636, 	6
335297134, 	2
207797496, 	3
674377530, 	8
348271524, 	3
323667055, 	3
602694010, 	4
164853940, 	2
590861719, 	4
601430035, 	8
93794321, 	3
784052464, 	3
804486912, 	4
865827891, 	4
814104446, 	6
958833995, 	5
582012908, 	4
387368539, 	4
338554656, 	2
605050865, 	5
808505016, 	5
280781496, 	5
457107129, 	5
448837178, 	6
79175142, 	5
61780105, 	2
522141366, 	3
358204740, 	4
187740117, 	8
818817931, 	3
18734829, 	7
204152854, 	5
916259143, 	2
953089056, 	5
973550580, 	3
59386491, 	4
8257877, 	3
335558089, 	2
451473699, 	5
696050525, 	7
415158896, 	9
685144610, 	6
238679707, 	4
289340411, 	9
829501747, 	7
15728993, 	3
40866891, 	2
124929661, 	8
189700211, 	7
75489794, 	7
750023684, 	5
181439049, 	4
291901240, 	5
14299196, 	2
701743875, 	7
892217797, 	8
394144344, 	9
979386517, 	7
849521182, 	7
789194810, 	4
327123378, 	4
189173649, 	2
352518793, 	6
584087508, 	5
280527173, 	5
4981190, 	9
840161386, 	6
621780363, 	2
279024423, 	4
777656458, 	2
880162932, 	2
305653391, 	11
800550785, 	3
629298246, 	7
65221602, 	2
92211055, 	4
120124234, 	8
920175870, 	8
386012605, 	3
676541887, 	2
389563062, 	3
778268822, 	6
750654542, 	6
137718073, 	6
740074928, 	3
519809819, 	7
457424884, 	1
77146174, 	1
362596454, 	1
384803899, 	5
649698684, 	5
78232580, 	4
50724568, 	4
537188376, 	5
250963198, 	5
217362696, 	3
940914751, 	2
248502422, 	5
662037885, 	7
485359663, 	5
436734137, 	8
141189604, 	2
538091832, 	3
480067295, 	3
602427516, 	4
592474315, 	4
634258727, 	3
405280087, 	3
798243223, 	8
40228515, 	8
36601000, 	11
153479732, 	6
7354782, 	5
547601701, 	6
817262676, 	4
247759242, 	10
263280497, 	1
845860902, 	5
408370050, 	3
171446063, 	4
684921247, 	6
807199014, 	8
11519962, 	3
595037979, 	4
307131937, 	7
186852297, 	9
963110915, 	5
515347495, 	5
340200037, 	6
785956891, 	5
314306852, 	3
877331450, 	1
628730612, 	8
669421321, 	9
482102740, 	2
335356535, 	2
576707600, 	5
776094276, 	3
238804029, 	6
292474036, 	4
783762754, 	4
139862833, 	2
391492718, 	5
568913065, 	4
400775080, 	3
299082836, 	2
841732086, 	7
305579986, 	5
722448305, 	5
183673130, 	5
857492022, 	6
847899676, 	6
525533523, 	3
156778544, 	4
409345417, 	5
943568776, 	5
512069704, 	4
803297054, 	4
986488918, 	5
540877301, 	4
337386400, 	9
558038805, 	7
384799216, 	4
909460478, 	8
954766751, 	7
780585919, 	6
671243031, 	6
714380390, 	4
747808142, 	3
506391095, 	5
7431817, 	5
640550049, 	10
752665079, 	9
470368424, 	7
158749070, 	3
442618614, 	3
941584519, 	8
794478979, 	5
244356014, 	4
476312399, 	5
486892047, 	6
970485635, 	3
892501664, 	5
314969252, 	4
247339106, 	4
14636201, 	7
743362802, 	4
464474087, 	3
25671801, 	2
575097553, 	7
334306827, 	5
15550815, 	5
252912374, 	4
619251189, 	6
946810556, 	3
537800962, 	3
106992550, 	5
201181383, 	4
806655955, 	4
468149083, 	4
870675841, 	10
346631530, 	3
666457765, 	6
412976484, 	5
22498496, 	9
623480573, 	4
829890280, 	4
522076908, 	3
184152707, 	4
708457493, 	4
435742255, 	2
261854640, 	3
360337405, 	7
674254701, 	8
853389769, 	7
44524952, 	5
655715036, 	6
319351260, 	4
209996570, 	6
405987951, 	6
178064981, 	9
751439989, 	4
622835165, 	3
529666435, 	4
491682053, 	7
566182474, 	7
540889843, 	4
299691026, 	1
39048232, 	7
531064451, 	7
541473116, 	5
892492202, 	5
439535451, 	4
592057843, 	3
691260609, 	3
598030923, 	2
110025302, 	4
421123374, 	4
961322298, 	3
540350381, 	5
750404393, 	6
193133534, 	4
228867685, 	3
926804856, 	4
494024742, 	5
952211759, 	5
789426286, 	7
496932109, 	2
343013211, 	6
710029237, 	5
931379542, 	7
95861414, 	6
169402598, 	9
177110122, 	12
283190727, 	6
900168203, 	4
604432975, 	7
829387779, 	7
873490737, 	3
274760066, 	4
927567198, 	3
582441810, 	9
421547262, 	8
868213095, 	3
593313559, 	4
77350758, 	6
364080680, 	11
350951456, 	6
83348025, 	6
893050344, 	5
174833211, 	5
287809246, 	9
174381585, 	7
283697667, 	3
956595552, 	1
943603487, 	3
571397223, 	4
599465051, 	3
244190474, 	4
346860838, 	7
451548914, 	5
